,length,oneway,off,bdir,trad,unit,area,sbt,sds,sice,sin,snl,stot,,,,0.22,"FINAL VALUES (THEORETICAL, GW)",Wave Technical Resource (GW),Technical Resource (GW capacity)
ak.ALA,2155358.5,53.3617664,30.62991667,83.99168307,22.73185178,150.839509,8.11727E+11,-0.020824082,-186.0300636,0,269.5837942,-47.65595238,35.87751936,-0.690063971,-0.176776028,-0.866839999,59.30843472,89.23928576,44.61964288,148.7321429
ak.ALB,323682.625,5.033198592,4.187942912,9.221141504,0.845254336,13.33429965,30729302016,0,-6.33381376,0,9.00477952,-1.581661824,1.089308288,-0.703383547,-0.175646924,-0.879030471,1.981051494,6.12250688,3.06125344,10.20417813
ak.BOW,605597.375,7.612724224,9.30848256,16.92120678,-1.695759232,26.57751245,2.98506E+11,-2.44E-07,-64.35897344,0,92.47673549,-16.15194726,11.96583219,-0.695947722,-0.174659574,-0.870607297,20.34488181,19.57855642,9.789278208,32.63092736
ak.GOA,718265.9375,21.20728576,3.099082752,24.30636851,18.10820301,36.64715776,3.49705E+11,-0.014347149,-43.31939021,0,61.20729805,-11.58679962,6.286755328,-0.707748775,-0.189304217,-0.897052992,13.46560557,27.49404109,13.74702054,45.82340181
ak.GEO,0,0,0,0,0,0,2.50293E+11,-0.163473136,-394737.4586,0,66.41770906,-39057.73214,-433529.8381,-5943.256162,-588.0620198,-6531.318182,14.61189599,14.61189599,7.305947996,24.35315999
ak.KOD,720637.8125,12.46080102,9.853662208,22.31446323,2.607137024,41.44807526,2.5158E+11,-0.036550572,-40.87467622,0,58.99582669,-10.75966566,7.324942848,-0.69284013,-0.182380115,-0.875220245,12.97908187,19.78574387,9.892871936,32.97623979
ak.MAT,0,0,0,0,0,0,1.86687E+11,-0.478865312,-263023969,0,25.8920407,-5617616.97,-268286936,-10158487.39,-216963.0828,-10375450.47,5.696248955,5.696248955,2.848124477,9.493748258
ak.NAL,0,0,0,0,0,0,1.09089E+11,-0.22758824,-56241.68238,0,24.4290007,-9861.940118,-66060.34672,-2302.250635,-403.698057,-2705.948692,5.374380155,5.374380155,2.687190077,8.957300258
ak.NAV,278648.5313,3.585634048,3.164118784,6.749752832,0.421515072,9.826610176,1.32292E+11,-0.031263656,-1311.707496,0,31.37076838,-97.05453978,-1377.487684,-41.81304966,-3.093789052,-44.90683872,6.901569044,10.48720309,5.243601546,17.47867182
ak.NOR,0,0,0,0,0,0,78610145280,-0.058649836,-208954505.5,0,6.868831232,-21158711.85,-229926212.3,-30420678.34,-3080394.778,-33501073.11,1.511142871,1.511142871,0.755571436,2.518571452
ak.SHU,651993.875,13.45743667,7.977590784,21.43502746,5.479847424,42.69529907,2.47802E+11,-0.080570328,-46.16163738,0,67.24840243,-12.11007078,8.896123904,-0.686434706,-0.18007968,-0.866514386,14.79464854,22.35356058,11.17678029,37.25593429
,,,,,,,,,,,,,,,,,,222.2545657,111.1272828,370.4242761
,,,,,,,,,,,,,,,,,TWh/yr:,1946.949995,973.4749976,3244.916659