,length,oneway,off,bdir,trad,unit,area,sbt,sds,sice,sin,snl,stot,0.22,,
ak.ALA,2155358.5,467.4490737,268.31807,735.7671437,199.1310216,1321.354099,8.11727E+11,-0.182418958,-1629.623357,0,2361.554037,-417.4661429,314.2870696,519.5418881,314.2870696,781.7361433
ak.ALB,323682.625,44.09081967,36.68637991,80.77719958,7.404427983,116.8084649,30729302016,0,-55.48420854,0,78.8818686,-13.85535758,9.542340603,17.35401109,9.542340603,53.63316027
ak.BOW,605597.375,66.6874642,81.54230723,148.2297714,-14.85485087,232.819009,2.98506E+11,-2.14E-06,-563.7846073,0,810.0962029,-141.491058,104.82069,178.2211646,104.82069,171.5081542
ak.GOA,718265.9375,185.7758233,27.14796491,212.9237882,158.6278584,321.029102,3.49705E+11,-0.125681025,-379.4778582,0,536.1759309,-101.5003646,55.07197667,117.9587048,55.07197667,240.8477999
ak.GEO,0,0,0,0,0,0,2.50293E+11,-1.432024671,-3457900.137,0,581.8191313,-342145.7336,-3797721.382,128.0002089,128.0002089,128.0002089
ak.KOD,720637.8125,109.156617,86.31808094,195.4746979,22.83852033,363.0851393,2.5158E+11,-0.320183011,-358.0621637,0,516.8034418,-94.25467122,64.16649935,113.6967572,64.16649935,173.3231163
ak.MAT,0,0,0,0,0,0,1.86687E+11,-4.194860133,-2304089968,0,226.8142766,-49210324.66,-2350193560,49.89914084,49.89914084,49.89914084
ak.NAL,0,0,0,0,0,0,1.09089E+11,-1.993672982,-492677.1377,0,213.9980462,-86390.59543,-578688.6373,47.07957016,47.07957016,47.07957016
ak.NAV,278648.5313,31.41015426,27.71768055,59.12783481,3.692472031,86.08110514,1.32292E+11,-0.273869627,-11490.55767,0,274.807931,-850.1977684,-12066.79211,60.45774483,60.45774483,91.86789909
ak.NOR,0,0,0,0,0,0,78610145280,-0.513772563,-1830441468,0,60.17096159,-185350315.8,-2014153620,13.23761155,13.23761155,13.23761155
ak.SHU,651993.875,117.8871452,69.88369527,187.7708405,48.00346343,374.0108199,2.47802E+11,-0.705796073,-404.3759434,0,589.0960053,-106.0842201,77.9300454,129.6011212,77.9300454,195.8171906
,,,,,,,,,,,,,,,,1946.949995